Producer,67244,102937400
Consumer,70834,487500
Producer,93818,103019400
Producer,64134,103034300
Consumer,57160,900
Producer,50613,103271400
Consumer,35028,800
Producer,50185,103299600
Consumer,10772,800
Producer,6112,103298600
Consumer,97428,500
Producer,63516,103263800
Consumer,92915,700
Producer,72185,103218300
Consumer,83389,700
Producer,81710,103637900
Consumer,27735,500
Consumer,68648,67500
Producer,3127,103551900
Consumer,10571,400
Producer,77822,103624100
Consumer,97588,129200
Producer,7462,103679900
Consumer,8248,600
Producer,93303,103736800
Consumer,28569,216500
Producer,97642,103713100
Consumer,94183,400
Consumer,13716,600
Producer,70058,103828100
Consumer,17079,400
Consumer,17643,600
Producer,38062,103875800
Consumer,11714,400
Producer,51722,103877600
Consumer,88643,500
Producer,24516,103901200
Producer,34905,103873200
Producer,43982,103802300
Consumer,48368,500
Producer,40048,104073000
Consumer,73812,600
Consumer,58840,500
Producer,23430,104077700
Producer,21158,104092000
Consumer,6356,600
Producer,70087,104004300
Consumer,87406,38900
Producer,37269,104030600
Consumer,29136,600
Producer,37815,104062400
Producer,41804,103940400
Consumer,97574,1900
Producer,62578,104128300
Producer,56671,104151900
Producer,26102,104151800
Consumer,46366,500
Consumer,20127,500
Producer,49759,104366200
Consumer,2260,500
Consumer,95268,800
Producer,61422,104455300
Consumer,58336,500
Producer,63154,104362200
Producer,31970,104343800
Consumer,9681,500
Producer,8910,104340400
Producer,8967,104248700
Consumer,30043,900
Consumer,35545,500
Producer,73370,104346600
Consumer,29915,500
Consumer,34342,500
Consumer,6255,500
Producer,68059,104702100
Consumer,24429,700
Consumer,23082,400
Consumer,22251,400
Producer,69930,104840900
Consumer,84651,500
Consumer,36576,500
Producer,62469,104861800
Consumer,3941,600
Producer,35720,104873300
Consumer,63179,1000
Consumer,20934,2900
Consumer,8354,2500
Producer,47361,104992300
Producer,68222,104796400
Consumer,31614,400
Consumer,65414,800
Consumer,33397,700
Producer,78765,104933200
Consumer,99469,38500
Producer,27280,104935200
Producer,10542,104972300
Producer,97385,104963800
Consumer,37758,500
Consumer,12861,500
Consumer,49008,500
Consumer,74561,700
Producer,73080,105076100
Consumer,42990,400
Producer,77052,105080500
Consumer,95400,98800
Producer,60472,105169300
Producer,75762,105150100
Consumer,83834,800
Producer,40719,105130900
Consumer,96420,1900
Producer,95023,105152700
Consumer,90735,1075000
Producer,61805,105396000
Producer,15914,105371100
Producer,70361,105381100
Producer,29799,105335100
Consumer,61601,900
Consumer,78234,600
